"Gyro (deg)X","Gyro (deg)Y","Gyro (deg)Z"
"8.44","-5.14","25.63","0.02","0.01","-0.89"
"5.72","-3.1","15.5","0","-0.06","-0.96"
"2.66","-8.62","16.82","-0.03","-0.07","-1"
"-14.63","3.65","15.08","0.05","-0.06","-0.85"
"6.24","10.59","1.85","-0.01","0.01","-1.09"
"13.04","19.48","-8.37","0.15","0.03","-0.86"
"14.78","-4.01","1.53","0.07","-0.01","-0.95"
"-10.01","8.51","-0.79","0.08","0","-0.92"
"0.52","0.24","-1.55","-0.02","-0.01","-0.94"
"-4.9","0.36","0.48","0.05","0.04","-0.89"
"-5.23","-0.11","1.42","0.03","0.06","-0.98"
"-2.16","-1.71","-2.24","0.07","0.08","-0.93"
"4.43","-4.81","0.05","0.01","0.01","-0.94"
"2.72","-8.34","-1.57","0.04","0.01","-0.96"
